onet,onet_title,noc 2021,noc_title,noc 2016,noc 2016 title,Noc 2006,noc_title_2006
11-2011.00,Advertising and Promotions Managers,10022,"Advertising, marketing and public relations managers",124,"Advertising, marketing and public relations managers",A131,"Sales, marketing and advertising managers"
11-2021.00,Marketing Managers,10022,"Advertising, marketing and public relations managers",124,"Advertising, marketing and public relations managers",A131,"Sales, marketing and advertising managers"
11-2032.00,Public Relations and Fundraising Managers,10022,"Advertising, marketing and public relations managers",124,"Advertising, marketing and public relations managers",A131,"Sales, marketing and advertising managers"
11-2033.00,Fundraising Managers,10022,"Advertising, marketing and public relations managers",124,"Advertising, marketing and public relations managers",A131,"Sales, marketing and advertising managers"
11-9199.00,"Managers, All Other",10029,Other business services managers,125,Other business services managers,A303,Other business services managers
11-9199.02,Compliance Managers,10029,Other business services managers,125,Other business services managers,A303,Other business services managers
11-9199.08,Loss Prevention Managers,10029,Other business services managers,125,Other business services managers,A303,Other business services managers
15-1241.01,Telecommunications Engineering Specialists,10030,Telecommunication carriers managers,131,Telecommunication carriers managers,A311,Telecommunication carriers managers
13-2011.00,Accountants and Auditors,11100,Financial auditors and accountants,1111,Financial auditors and accountants,B011,Financial auditors and accountants
13-2051.00,Financial Analysts,11101,Financial and investment analysts,1112,Financial and investment analysts,B012,Financial and investment analysts
13-2052.00,"Financial Specialists, All Other",11102,Financial advisors,1114,Other financial officers,B014,Other financial officers
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",11103,"Securities agents, investment dealers and brokers",1113,"Securities agents, investment dealers and brokers",B013,"Securities agents, investment dealers and brokers"
13-2099.00,"Financial Specialists, All Other",11109,Other financial officers,1114,Other financial officers,B014,Other financial officers
13-2099.01,Financial Quantitative Analysts,11109,Other financial officers,1114,Other financial officers,B014,Other financial officers
13-2099.04,"Fraud Examiners, Investigators and Analysts",11109,Other financial officers,1114,Other financial officers,B014,Other financial officers
11-3121.00,Human Resources Managers,11200,Human resources professionals,112,Human resources managers,A112,Human resources managers
13-1041.03,Equal Opportunity Representatives and Officers,11200,Human resources professionals,112,Human resources managers,A112,Human resources managers
13-1071.00,Human Resources Specialists,11200,Human resources professionals,112,Human resources managers,A112,Human resources managers
13-1075.00,Labor Relations Specialists,11200,Human resources professionals,112,Human resources managers,A112,Human resources managers
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",11200,Human resources professionals,112,Human resources managers,A112,Human resources managers
13-1151.00,Training and Development Specialists,11200,Human resources professionals,112,Human resources managers,A112,Human resources managers
13-1041.00,Compliance Officers,11201,Professional occupations in business management consulting,1122,Professional occupations in business management consulting,B022,Professional occupations in business services to management
13-1041.07,Regulatory Affairs Specialists,11201,Professional occupations in business management consulting,1122,Professional occupations in business management consulting,B022,Professional occupations in business services to management
13-1081.00,Logisticians,11201,Professional occupations in business management consulting,1122,Professional occupations in business management consulting,B022,Professional occupations in business services to management
13-1081.02,Logistics Analysts,11201,Professional occupations in business management consulting,1122,Professional occupations in business management consulting,B022,Professional occupations in business services to management
13-1111.00,Management Analysts,11201,Professional occupations in business management consulting,1122,Professional occupations in business management consulting,B022,Professional occupations in business services to management
11-2011.00,Advertising and Promotions Managers,11202,"Professional occupations in advertising, marketing and public relations",1123,"Professional occupations in advertising, marketing and public relations",F024,Professional occupations in public relations and communications
13-1161.01,Search Marketing Strategists,11202,"Professional occupations in advertising, marketing and public relations",1123,"Professional occupations in advertising, marketing and public relations",F024,Professional occupations in public relations and communications
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,12010,"Supervisors, general office and administrative support workers",1211,"Supervisors, general office and administrative support workers",B411,"Supervisors, general office and administrative support clerks"
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,12011,"Supervisors, finance and insurance office workers",1212,"Supervisors, finance and insurance office workers",B412,"Supervisors, finance and insurance clerks"
25-4011.00,Archivists,12012,"Supervisors, library, correspondence and related information workers",1213,"Supervisors, library, correspondence and related information workers",B413,"Supervisors, library, correspondence and related information clerks"
11-3071.00,Logistics Managers,12013,"Supervisors, supply chain, tracking and scheduling coordination occupations",1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",B415,"Supervisors, recording, distributing and scheduling occupations"
11-3071.04,Supply Chain Managers,12013,"Supervisors, supply chain, tracking and scheduling coordination occupations",1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",B415,"Supervisors, recording, distributing and scheduling occupations"
43-6011.00,Executive Secretaries and Executive Administrative Assistants,12100,Executive assistants,1222,Executive assistants,B312,Executive assistants
13-1071.00,Human Resources Specialists,12101,Human resources and recruitment officers,1223,Human resources and recruitment officers,B313,Personnel and recruitment officers
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",12102,Procurement and purchasing agents and officers,1225,Purchasing agents and officers,B315,Purchasing agents and officers
13-1121.00,"Meeting, Convention, and Event Planners",12103,Conference and event planners,1226,Conference and event planners,B316,Conference and event planners
13-1041.00,Compliance Officers,12104,Employment insurance and revenue officers,1228,"Employment insurance, immigration, border services and revenue officers",B318,"Immigration, employment insurance and revenue officers"
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",12104,Employment insurance and revenue officers,1228,"Employment insurance, immigration, border services and revenue officers",B318,"Immigration, employment insurance and revenue officers"
27-3092.00,Court Reporters,12110,"Court reporters, medical transcriptionists and related occupations",1251,"Court reporters, medical transcriptionists and related occupations",B214,Court recorders and medical transcriptionists
31-9094.00,Medical Transcriptionists,12110,"Court reporters, medical transcriptionists and related occupations",1251,"Court reporters, medical transcriptionists and related occupations",B214,Court recorders and medical transcriptionists
29-2072.00,Medical Records and Health Information Technicians,12111,Health information management occupations,1252,Health information management occupations,B411,"Supervisors, general office and administrative support clerks"
29-9021.00,Health Information Technologists and Medical Registrars,12111,Health information management occupations,1252,Health information management occupations,B411,"Supervisors, general office and administrative support clerks"
15-2051.02,Clinical Data Managers,12111,Health information management occupations,1252,Health information management occupations,B411,"Supervisors, general office and administrative support clerks"
15-1211.01,Health Informatics Specialists,12111,Health information management occupations,1252,Health information management occupations,B411,"Supervisors, general office and administrative support clerks"
15-1299.03,Document Management Specialists,12112,Records management technicians,1253,Records management technicians,B513,Records management and filing clerks
43-4071.00,File Clerks,12112,Records management technicians,1253,Records management technicians,B513,Records management and filing clerks
43-9071.00,"Office Machine Operators, Except Computer",12112,Records management technicians,1253,Records management technicians,B513,Records management and filing clerks
19-4061.00,Social Science Research Assistants,12113,Statistical officers and related research support occupations,1254,Statistical officers and related research support occupations,C061,"Mathematicians, statisticians and actuaries"
43-9111.00,Statistical Assistants,12113,Statistical officers and related research support occupations,1254,Statistical officers and related research support occupations,C061,"Mathematicians, statisticians and actuaries"
15-2099.01,Bioinformatics Technicians,12113,Statistical officers and related research support occupations,1254,Statistical officers and related research support occupations,C061,"Mathematicians, statisticians and actuaries"
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",12200,Accounting technicians and bookkeepers,1311,Accounting technicians and bookkeepers,B111,Bookkeepers
13-1031.00,"Insurance Adjusters, Examiners, and Investigators",12201,Insurance adjusters and claims examiners,1312,Insurance adjusters and claims examiners,B113,Insurance adjusters and claims examiners
13-2053.00,Insurance Underwriters,12202,Insurance underwriters,1313,Insurance underwriters,B114,Insurance underwriters
13-2023.00,Appraisers and Assessors of Real Estate,12203,"Assessors, business valuators and appraisers",1314,"Assessors, valuators and appraisers",B115,"Assessors, valuators and appraisers"
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",13100,Administrative officers,1221,Administrative officers,B311,Administrative officers
11-9141.00,"Property, Real Estate, and Community Association Managers",13101,Property administrators,1224,Property administrators,B314,Property administrators
43-3051.00,Payroll and Timekeeping Clerks,13102,Payroll administrators,1432,Payroll clerks,B532,Payroll clerks
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",13110,Administrative assistants,112,Human resources managers,A112,Human resources managers
23-2011.00,Paralegals and Legal Assistants,13111,Legal administrative assistants,1242,Legal administrative assistants,B212,Legal secretaries
31-9092.00,Medical Assistants,13112,Medical administrative assistants,1243,Medical administrative assistants,B213,Medical secretaries
13-1041.08,Customs Brokers,13200,"Customs, ship and other brokers",1315,"Customs, ship and other brokers",B116,"Customs, ship and other brokers"
13-1081.02,Logistics Analysts,13201,Production and transportation logistics coordinators,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",B415,"Supervisors, recording, distributing and scheduling occupations"
43-9061.00,"Office Clerks, General",14100,General office support workers,1411,General office support workers,B511,General office clerks
43-4171.00,Receptionists and Information Clerks,14101,Receptionists,1414,Receptionists,B514,Receptionists and switchboard operators
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",14102,Personnel clerks,1415,Personnel clerks,B542,Personnel clerks
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",14103,Court clerks and related court services occupations,1227,Court officers and justices of the peace,B317,Court officers and justices of the peace
43-4031.00,"Court, Municipal, and License Clerks",14103,Court clerks and related court services occupations,1227,Court officers and justices of the peace,B317,Court officers and justices of the peace
43-5041.00,"Meter Readers, Utilities",14110,Survey interviewers and statistical clerks,1454,Survey interviewers and statistical clerks,B554,Survey interviewers and statistical clerks
43-9111.00,Statistical Assistants,14110,Survey interviewers and statistical clerks,1454,Survey interviewers and statistical clerks,B554,Survey interviewers and statistical clerks
43-9021.00,Data Entry Keyers,14111,Data entry clerks,1422,Data entry clerks,B522,Data entry clerks
43-9031.00,Desktop Publishers,14112,Desktop publishing operators and related occupations,1423,Desktop publishing operators and related occupations,B523,Desktop publishing operators and related occupations
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",14200,Accounting and related clerks,1431,Accounting and related clerks,B531,Accounting and related clerks
43-9041.00,Insurance Claims and Policy Processing Clerks,14201,"Banking, insurance and other financial clerks",1434,"Banking, insurance and other financial clerks",B534,"Banking, insurance and other financial clerks"
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",14202,Collection clerks,1435,Collectors,B535,Collectors
43-4121.00,"Library Assistants, Clerical",14300,Library assistants and clerks,1451,Library assistants and clerks,B551,Library clerks
43-4021.00,Correspondence Clerks,14301,"Correspondence, publication and regulatory clerks",1452,"Correspondence, publication and regulatory clerks",B552,"Correspondence, publication and related clerks"
43-5071.00,"Shipping, Receiving, and Traffic Clerks",14400,Shippers and receivers,1521,Shippers and receivers,B571,Shippers and receivers
53-7065.00,Stock Clerks and Order Fillers,14401,Storekeepers and partspersons,1522,Storekeepers and partspersons,B572,Storekeepers and parts clerks
43-5061.00,"Production, Planning, and Expediting Clerks",14402,Production logistics workers,1523,Production logistics co-ordinators,B573,Production clerks
43-3061.00,Procurement Clerks,14403,Purchasing and inventory control workers,1524,Purchasing and inventory control workers,B574,Purchasing and inventory clerks
43-2099.00,Radio Operators,14404,Dispatchers,1525,Dispatchers,B575,Dispatchers and radio operators
43-5031.00,"Police, Fire, and Ambulance Dispatchers",14404,Dispatchers,1525,Dispatchers,B575,Dispatchers and radio operators
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",14404,Dispatchers,1525,Dispatchers,B575,Dispatchers and radio operators
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",14405,Transportation route and crew schedulers,1526,Transportation route and crew schedulers,B576,Transportation route and crew schedulers
11-9041.00,Architectural and Engineering Managers,20010,Engineering managers,211,Engineering managers,A121,Engineering managers
11-9041.00,Architectural and Engineering Managers,20011,Architecture and science managers,212,Architecture and science managers,A123,Architecture and science managers
11-9121.00,Natural Sciences Managers,20011,Architecture and science managers,212,Architecture and science managers,A123,Architecture and science managers
11-3021.00,Computer and Information Systems Managers,20012,Computer and information systems managers,213,Computer and information systems managers,A122,Computer and information systems managers
15-1299.09,Information Technology Project Managers,20012,Computer and information systems managers,213,Computer and information systems managers,A122,Computer and information systems managers
19-2011.00,Astronomers,21100,Physicists and astronomers,2111,Physicists and astronomers,C011,Physicists and astronomers
19-2012.00,Physicists,21100,Physicists and astronomers,2111,Physicists and astronomers,C011,Physicists and astronomers
19-2021.00,Atmospheric and Space Scientists,21100,Physicists and astronomers,2111,Physicists and astronomers,C011,Physicists and astronomers
19-2099.01,Remote Sensing Scientists and Technologists,21100,Physicists and astronomers,2111,Physicists and astronomers,C011,Physicists and astronomers
19-2031.00,Chemists,21101,Chemists,2112,Chemists,C012,Chemists
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",21102,Geoscientists and oceanographers,2113,Geoscientists and oceanographers,C013,"Geologists, geochemists and geophysicists"
19-2021.00,Atmospheric and Space Scientists,21103,Meteorologists and climatologists,2114,Meteorologists and climatologists,C014,Meteorologists
19-2099.00,"Physical Scientists, All Other",21109,Other professional occupations in physical sciences,2115,Other professional occupations in physical sciences,C015,Other professional occupations in physical sciences
19-1022.00,Microbiologists,21110,Biologists and related scientists,2121,Biologists and related scientists,C021,Biologists and related scientists
19-1023.00,Zoologists and Wildlife Biologists,21110,Biologists and related scientists,2121,Biologists and related scientists,C021,Biologists and related scientists
19-1031.03,Park Naturalists,21110,Biologists and related scientists,2121,Biologists and related scientists,C021,Biologists and related scientists
19-2041.00,"Environmental Scientists and Specialists, Including Health",21110,Biologists and related scientists,2121,Biologists and related scientists,C021,Biologists and related scientists
19-2041.03,Industrial Ecologists,21110,Biologists and related scientists,2121,Biologists and related scientists,C021,Biologists and related scientists
19-1032.00,Foresters,21111,Forestry professionals,2122,Forestry professionals,C022,Forestry professionals
19-4012.00,Agricultural Technicians,21112,"Agricultural representatives, consultants and specialists",2123,"Agricultural representatives, consultants and specialists",C023,"Agricultural representatives, consultants and specialists"
19-4013.00,Food Science Technicians,21112,"Agricultural representatives, consultants and specialists",2123,"Agricultural representatives, consultants and specialists",C023,"Agricultural representatives, consultants and specialists"
13-1041.01,Environmental Compliance Inspectors,21120,Public and environmental health and safety professionals,2263,Inspectors in public and environmental health and occupational health and safety,C163,Inspectors in public and environmental health and occupational health and safety
17-2011.00,Aerospace Engineers,21120,Public and environmental health and safety professionals,2263,Inspectors in public and environmental health and occupational health and safety,C163,Inspectors in public and environmental health and occupational health and safety
17-1011.00,"Architects, Except Landscape and Naval",21200,Architects,2151,Architects,C051,Architects
17-1012.00,Landscape Architects,21201,Landscape architects,2152,Landscape architects,C052,Landscape architects
19-3051.00,Urban and Regional Planners,21202,Urban and land use planners,2153,Urban and land use planners,C053,Urban and land use planners
17-1022.00,Surveyors,21203,Land surveyors,2154,Land surveyors,C054,Land surveyors
17-1022.01,Geodetic Surveyors,21203,Land surveyors,2154,Land surveyors,C054,Land surveyors
15-2011.00,Actuaries,21210,"Mathematicians, statisticians and actuaries",2161,"Mathematicians, statisticians and actuaries",C061,"Mathematicians, statisticians and actuaries"
15-2021.00,Mathematicians,21210,"Mathematicians, statisticians and actuaries",2161,"Mathematicians, statisticians and actuaries",C061,"Mathematicians, statisticians and actuaries"
15-2041.00,Statisticians,21210,"Mathematicians, statisticians and actuaries",2161,"Mathematicians, statisticians and actuaries",C061,"Mathematicians, statisticians and actuaries"
15-2041.01,Biostatisticians,21210,"Mathematicians, statisticians and actuaries",2161,"Mathematicians, statisticians and actuaries",C061,"Mathematicians, statisticians and actuaries"
15-1221.00,Computer and Information Research Scientists,21211,Data scientists,2171,Information systems analysts and consultants,C071,Information systems analysts and consultants
15-2051.00,Data Scientists,21211,Data scientists,2171,Information systems analysts and consultants,C071,Information systems analysts and consultants
15-2051.01,Business Intelligence Analysts,21211,Data scientists,2171,Information systems analysts and consultants,C071,Information systems analysts and consultants
15-1122.00,Information Security Analysts,21220,Cybersecurity specialists,2171,Information systems analysts and consultants,C071,Information systems analysts and consultants
15-1299.05,Information Security Engineers,21220,Cybersecurity specialists,2171,Information systems analysts and consultants,C071,Information systems analysts and consultants
13-1199.04,Business Continuity Planners,21221,Business systems specialists,2171,Information systems analysts and consultants,C071,Information systems analysts and consultants
15-1211.00,Computer Systems Analysts,21221,Business systems specialists,2171,Information systems analysts and consultants,C071,Information systems analysts and consultants
15-1211.00,Computer Systems Analysts,21222,Information systems specialists,2171,Information systems analysts and consultants,C071,Information systems analysts and consultants
15-1253.00,Software Quality Assurance Engineers and Testers,21222,Information systems specialists,2171,Information systems analysts and consultants,C071,Information systems analysts and consultants
15-1242.00,Database Administrators,21223,Database analysts and data administrators,2172,Database analysts and data administrators,C072,Database analysts and data administrators
15-1243.00,Database Architects,21223,Database analysts and data administrators,2172,Database analysts and data administrators,C072,Database analysts and data administrators
15-1243.01,Data Warehousing Specialists,21223,Database analysts and data administrators,2172,Database analysts and data administrators,C072,Database analysts and data administrators
15-1243.00,Database Architects,21230,Computer systems developers and programmers,2174,Computer programmers and interactive media developers,C074,Computer programmers and interactive media developers
15-1251.00,Computer Programmers,21230,Computer systems developers and programmers,2174,Computer programmers and interactive media developers,C074,Computer programmers and interactive media developers
15-1252.00,Software Developers,21231,Software engineers and designers,2173,Software engineers and designers,C073,Software engineers and designers
15-1251.00,Computer Programmers,21232,Software developers and programmers,2174,Computer programmers and interactive media developers,C074,Computer programmers and interactive media developers
15-1255.00,Web Developers,21233,Web designers,2171,Information systems analysts and consultants,C071,Information systems analysts and consultants
15-1299.01,Web Administrators,21233,Web designers,2171,Information systems analysts and consultants,C071,Information systems analysts and consultants
15-1251.00,Computer Programmers,21234,Web developers and programmers,2174,Computer programmers and interactive media developers,C074,Computer programmers and interactive media developers
15-1254.00,Web Developers,21234,Web developers and programmers,2174,Computer programmers and interactive media developers,C074,Computer programmers and interactive media developers
17-2051.00,Civil Engineers,21300,Civil engineers,2131,Civil engineers,C031,Civil engineers
17-2051.01,Transportation Engineers,21300,Civil engineers,2131,Civil engineers,C031,Civil engineers
17-2141.00,Mechanical Engineers,21301,Mechanical engineers,2132,Mechanical engineers,C032,Mechanical engineers
17-2141.02,Automotive Engineers,21301,Mechanical engineers,2132,Mechanical engineers,C032,Mechanical engineers
17-2199.05,Mechatronics Engineers,21301,Mechanical engineers,2132,Mechanical engineers,C032,Mechanical engineers
17-2199.08,Robotics Engineers,21301,Mechanical engineers,2132,Mechanical engineers,C032,Mechanical engineers
17-2071.00,Electrical Engineers,21310,Electrical and electronics engineers,2133,Electrical and electronics engineers,C033,Electrical and electronics engineers
17-2072.00,"Electronics Engineers, Except Computer",21310,Electrical and electronics engineers,2133,Electrical and electronics engineers,C033,Electrical and electronics engineers
15-1299.08,Computer Systems Engineers/Architects,21311,Computer engineers (except software engineers and designers),2147,Computer engineers (except software engineers and designers),C047,Computer engineers (except software engineers and designers)
17-2061.00,Computer Hardware Engineers,21311,Computer engineers (except software engineers and designers),2147,Computer engineers (except software engineers and designers),C047,Computer engineers (except software engineers and designers)
17-2041.00,Chemical Engineers,21320,Chemical engineers,2134,Chemical engineers,C034,Chemical engineers
17-2141.01,Fuel Cell Engineers,21320,Chemical engineers,2134,Chemical engineers,C034,Chemical engineers
17-2031.00,Biochemical Engineers,21320,Chemical engineers,2134,Chemical engineers,C034,Chemical engineers
17-2111.02,Fire-Prevention and Protection Engineers,21321,Industrial and manufacturing engineers,2141,Industrial and manufacturing engineers,C041,Industrial and manufacturing engineers
17-2111.00,Product Safety Engineers,21321,Industrial and manufacturing engineers,2141,Industrial and manufacturing engineers,C041,Industrial and manufacturing engineers
17-2112.00,Industrial Engineers,21321,Industrial and manufacturing engineers,2141,Industrial and manufacturing engineers,C041,Industrial and manufacturing engineers
17-2112.03,Manufacturing Engineers,21321,Industrial and manufacturing engineers,2141,Industrial and manufacturing engineers,C041,Industrial and manufacturing engineers
17-2131.00,Materials Engineers,21322,Metallurgical and materials engineers,2142,Metallurgical and materials engineers,C042,Metallurgical and materials engineers
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",21330,Mining engineers,2143,Mining engineers,C043,Mining engineers
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",21331,Geological engineers,2144,Geological engineers,C044,Geological engineers
17-2171.00,Petroleum Engineers,21332,Petroleum engineers,2145,Petroleum engineers,C045,Petroleum engineers
17-2011.00,Aerospace Engineers,21390,Aerospace engineers,2146,Aerospace engineers,C046,Aerospace engineers
13-1081.01,Logistics Engineers,21399,Other professional engineers,2148,"Other professional engineers, n.e.c.",C048,"Other professional engineers, n.e.c."
17-2021.00,Agricultural Engineers,21399,Other professional engineers,2148,"Other professional engineers, n.e.c.",C048,"Other professional engineers, n.e.c."
17-2031.00,Biomedical Engineers,21399,Other professional engineers,2148,"Other professional engineers, n.e.c.",C048,"Other professional engineers, n.e.c."
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",21399,Other professional engineers,2148,"Other professional engineers, n.e.c.",C048,"Other professional engineers, n.e.c."
17-2121.00,Marine Engineers and Naval Architects,21399,Other professional engineers,2148,"Other professional engineers, n.e.c.",C048,"Other professional engineers, n.e.c."
17-2161.00,Nuclear Engineers,21399,Other professional engineers,2148,"Other professional engineers, n.e.c.",C048,"Other professional engineers, n.e.c."
17-2199.00,"Engineers, All Other",21399,Other professional engineers,2148,"Other professional engineers, n.e.c.",C048,"Other professional engineers, n.e.c."
17-2112.02,Validation Engineers,21399,Other professional engineers,2148,"Other professional engineers, n.e.c.",C048,"Other professional engineers, n.e.c."
17-2199.03,Energy Engineers,21399,Other professional engineers,2148,"Other professional engineers, n.e.c.",C048,"Other professional engineers, n.e.c."
17-2199.06,Microsystems Engineers,21399,Other professional engineers,2148,"Other professional engineers, n.e.c.",C048,"Other professional engineers, n.e.c."
17-2199.07,Photonics Engineers,21399,Other professional engineers,2148,"Other professional engineers, n.e.c.",C048,"Other professional engineers, n.e.c."
17-2199.09,Nanosystems Engineers,21399,Other professional engineers,2148,"Other professional engineers, n.e.c.",C048,"Other professional engineers, n.e.c."
17-2199.10,Wind Energy Engineers,21399,Other professional engineers,2148,"Other professional engineers, n.e.c.",C048,"Other professional engineers, n.e.c."
