"noc_2016","2.C.3.a - Comp and Elec","2.C.3.b - Eng and Tech","2.C.9.a - Telco","2.B.3.b - Tech Design","2.B.3.e - Programming","4.A.3.b.1 - Inter w Comp","Rank - Tech Design","Rank - Programming","Rank - Comp and Elec","Rank - Inter w Comp","Rank - Eng and Tech","Rank - Telco","harm.rank","harm.rank.digital","harm.rank.no.tel","tech","digital","tech.no.tel","noc_code","noc_name"
1526,11.7216,4.2402,4.29,0.93,0.3125,19.5363,334,348,168,35,241,87,109.009232537138,83.4656552314391,114.475224852281,0,NA,NA,"1526",""
2111,21.42291875,14.098,5.70754375,5.135625,5.3524625,22.87220625,25,23,15,13,46,58,23.7828601236418,20.7744301807702,21.2464554053774,1,"High-Tech",1,"2111",""
2112,12.7596,12.0262,1.615,2.82,3.71,20.203,78.5,38.5,141,25,60,341,58.4133285341295,54.241536048026,50.1040628045107,0,NA,NA,"2112",""
2113,14.941,15.21,3.57,1.3125,4.4744,19.6672,266,31,76,30,38,141,53.1332335675217,47.8827842708782,47.2226376388245,0,NA,NA,"2113",""
2114,20.0384,8.5728,7.7506,0.93,1.125,20.4185,334,158.5,23,24,124,34,47.0614950198573,34.3324983824161,50.5452141559708,0,NA,NA,"2114",""
2121,12.81588,8.009336,2.6609,2.6106,3.559248,14.921376,91,42,138,135,132,214,98.6152370590842,94.2192652521892,88.9816481930052,0,NA,NA,"2121",""
2122,15.873,9.0792,2.3247,4.24,0.5244,13.4397,36,304,57,169,117,263,91.3354574700886,132.492888701609,80.7701934529613,0,NA,NA,"2122",""
2123,16.121,8.5749,1.2616,1.4256,1.215,11.9952,234,144.5,52,208,123,387,132.092774871501,120.835753195178,116.698911647197,0,NA,NA,"2123",""
2131,14.586,30.1136,4.25285,6.4125,4.8925,18.94285,19.5,28,80,42,1,91,9.52782777766467,49.4108883054734,8.07930987458916,1,"High-Tech",1,"2131",""
2132,20.544,29.328,6.5069625,12.15234375,7.5396875,21.09375,2,16,19,19,3,47,7.86379698040475,22.2646657571623,6.73712021136063,1,"High-Tech",1,"2132",""
2133,26.201125,27.724,7.486575,6.5664,5.0589,21.283825,18,27,5,18,8,38,13.5014641553089,14.252447192169,11.9401496259352,1,"Digital",1,"2133",""
2134,16.3478222222222,28.3872666666667,2.59653333333333,7.88,4.42361111111111,19.6319444444444,4,32,49,33,6,223,14.0503303202127,47.5177439054364,11.8323048739334,1,"High-Tech",1,"2134",""
2141,14.33303125,25.48261875,3.71565,7.0556625,3.5114,17.00961875,13,43,88,72,13,131,30.2885348904481,72.4144220214473,26.2441015310445,0,NA,NA,"2141",""
2142,17.591,28.2112,3.8335,6.875,3.9856,17.5848,14,37,39,65,7,115,22.492577931717,53.2708329518613,19.3697868396664,1,"High-Tech",1,"2142",""
2143,12.6616,26.738,3.0807,7.86,9.295,18.9312,5.5,10.5,144.5,43.5,9.5,173.5,16.1674433133978,32.7783029428867,13.6841761539631,1,"High-Tech",1,"2143",""
2144,12.6616,26.738,3.0807,7.86,9.295,18.9312,5.5,10.5,144.5,43.5,9.5,173.5,16.1674433133978,32.7783029428867,13.6841761539631,1,"High-Tech",1,"2144",""
2145,17.29,28.68,3.5045,5.0456,2.415,17.7184,30,67.5,43,61,5,143,23.1370776314862,66.2259445118515,19.8114287733682,1,"High-Tech",1,"2145",""
2146,17.787,29.036,2.9172,12.1875,3.71,25.9616,1,38.5,38,8,4,190.5,6.91809702754642,23.9104994765459,5.80000251000866,1,"High-Tech",1,"2146",""
2147,31.048875,26.1744,12.651025,5.058275,9.1875,28.22425,28,12,3,3,12,10,7.69982980040229,5.98952879581152,7.26396917148362,1,"Digital",1,"2147",""
2148,17.2908428571429,26.5640265306122,5.08819591836735,7.21315,4.35428571428571,18.4191183673469,10,33,42,49,11,65,22.8953874821844,45.5481812259849,20.2502933912673,1,"High-Tech",1,"2148",""
2151,13.7172,18.2013,4.2228,3.76,2.82,17.372,46,56,103,69,28,92,55.5776831474731,76.6318072016418,51.4380468317468,0,NA,NA,"2151",""
2152,15.3186,16.02,3.3417,2.35,0.69,16.7698,110.5,272,68,81,35,154,81.5784008897244,108.688291670965,74.5186835835362,0,NA,NA,"2152",""
2153,10.13565,6.156,2.82555,1.2225,1.7914,15.48195,279.5,92,219,113,181,204,157.862793697782,138.178224259566,150.922253783454,0,NA,NA,"2153",""
2154,18.9987,21.146475,7.54735,2.4497,5.20125,21.689,104,25.5,28,17,17,37,27.3760947043749,25.958863181807,25.9264118409356,0,NA,NA,"2154",""
2161,20.83625,4.4664375,2.11278125,1.44180625,10.0021875,24.4444375,225,9,18,10,234,280,23.4577060072611,16.1878182732792,19.8239028620741,1,"Digital",1,"2161",""
2171,22.646221875,9.976290625,7.5760671875,6.7189171875,8.8046875,23.9181640625,16,13,13,11,95,35,18.5638710842286,15.75,16.9244444444444,1,"Digital",1,"2171",""
2172,26.0142,9.677625,9.47375,6.7125,13.26,28.1138,17,2,7,4,99,25,7.87039632266383,5.74057037718491,6.9071373752878,1,"Digital",1,"2172",""
2173,32.718,20.20935,12.1539,5.04735,10.3675,27.703125,29,6,1,5,20,13,6.23762376237624,4.54054054054054,5.61497326203209,1,"Digital",1,"2173",""
2174,32.6025,5.5225,4.0527,5.895,21.375,29.1739,21,1,2,1,201,102,4.30586848228041,2.97831325301205,3.61339982653946,1,"Digital",1,"2174",""
2175,26.031825,8.592975,9.1875,6.4125,12.915,26.958775,19.5,4,6,6,122,26,10.3508615699719,7.65182186234818,9.21446917808219,1,"Digital",1,"2175",""
2211,7.9786,3.5532,0.5168,2.9256,0.93,15.7084,71.5,207,295,101,267,459,159.200380935163,198.374270303767,140.787807513804,0,NA,NA,"2211",""
2212,16.046,14.812875,2.7645,1.855,1.855,13.9311,170,87,53,156,41,205,84.7895615602585,97.3095122468556,75.8621060849924,0,NA,NA,"2212",""
2221,10.96,5.6168,1.113,3.24,4.24,13.7566,58,35,185,159,197,402,93.9185117711403,95.4984160941293,81.4282124690337,0,NA,NA,"2221",""
2222,9.8549,4.6535,3.1141,1.3125,0.75,13.3227,266,245.5,230,171,224,171,212.739785669553,199.863029492942,223.318809427771,0,NA,NA,"2222",""
2223,12.9678111111111,9.56113333333333,6.3448,2.54055555555556,1.82583333333333,12.3933333333333,96,89,126,200,100,49,93.5008790529761,90.9912907096943,113.197672009659,0,NA,NA,"2223",""
2224,11.595612,9.06384,3.216752,2.28,2.3125,12.98182,117,71,170,183,119,160,124.505313303331,127.458333333333,119.105656629428,0,NA,NA,"2224",""
2225,3.9788,4.6284,0.957,1.0044,0,0.375,317,443.5,393.5,477.5,226.5,417.5,357.053977609614,431.782497065364,346.868231785571,0,NA,NA,"2225",""
2231,12.8326,19.6088,1.9012,2.025,0.69,18.468,150,272,136,48,21,300.5,69.1529068364424,115.316357237594,59.9179131692447,0,NA,NA,"2231",""
2232,13.49705,22.28265,3.923325,4.62,2.07375,14.16545,31,79,107,150,16,109,47.0417725219986,106.744419568144,42.2100132231732,0,NA,NA,"2232",""
2233,15.56548125,20.7358875,3.87256875,7.799925,3.625,15.48,7,41,59,114,18,113,25.4695576756288,69.0324400564175,22.0455227914239,0,NA,1,"2233",""
2234,16.5985,18.56,3.6285,1.54,3.0456,19.0755,212.5,49.5,47,38,27,134,52.5938068856293,54.2860560933709,46.8715729690885,0,NA,NA,"2234",""
2241,22.818316,22.598928,7.398336,5.744984,4.351152,19.72236,22,34,11,28,15,39,21.6320844259262,23.3389221556886,19.8125117135977,1,"High-Tech",1,"2241",""
2242,18.845575,14.5071,11.80825,3.8822,2.9025,15.24825,43,54,29,121,44,14,35.0205383463007,31.6509433962264,47.773119215252,0,NA,NA,"2242",""
2243,12.4587,15.1616,3.9856,4.24,3.5,5.535,36,44,150,373,40,105,64.9563172054412,97.674139833993,60.2875912231559,0,NA,NA,"2243",""
2244,16.802,19.5238,6.9069,2.36506666666667,1.35277777777778,16.5105777777778,107,125,45,84,22,43,51.3236641976452,62.3367391248084,53.091031876603,0,NA,NA,"2244",""
2251,15.192625,18.963,2.550725,1.625,3.25,19.671575,196.5,45,69,29,25,230,51.1892927905615,54.2835249042146,44.2936461730238,0,NA,NA,"2251",""
2252,15.3468,22.9824,2.509,10.86,2.025,12.834,3,81,67,187,14,237,16.9929068495762,109.824233716475,14.3312951785706,1,"High-Tech",1,"2252",""
2253,15.859104,20.608256,2.6973,2.4494,3.015376,19.945392,105,51,58,26,19,211,43.6783258943894,51.325520087446,37.6929158086907,0,NA,NA,"2253",""
2254,14.245,13.6528,3.3948,1.4256,0.69,15.609,234,272,92,105,48,150,108.822507142731,131.267314206888,103.064867772769,0,NA,NA,"2254",""
2255,23.999625,10.93125,2.6184375,3.9790625,8.16,22.00455,42,15,9,16,88,219,23.044947948676,17.7093814738088,19.5453517864399,1,"High-Tech",1,"2255",""
2261,7.722,7.3158,0.88145,1.5322,1.31625,9.8527,219,127,304,249,147,430,208.960319922174,229.734882954436,189.441300962019,0,NA,NA,"2261",""
2262,6.9133,3.6337,0.5628,0.5244,0.75,9.2018,408.5,245.5,327,264,259,452,309.680259107132,305.654624831741,291.251105477218,0,NA,NA,"2262",""
2263,13.9425,12.22,2.622,1.3125,3.0456,12.987,266,49.5,99,182,56,218,98.1645694046427,100.420079490792,88.4085138442208,0,NA,NA,"2263",""
2264,8.9159,16.425,3.8064,1.3125,0.75,10.78,266,245.5,256,226,33,117,111.142413366935,192.05185402853,109.865444211577,0,NA,NA,"2264",""
2271,16.3072,7.4782,9.6685,0.5244,2.1056,15.6716,408.5,76.5,50,104,144,22,63.2566460165122,46.7764372938355,97.3265702460446,0,NA,NA,"2271",""
2272,10.9733,4.368,10.2942,1.3125,1.3125,12.1792,266,131,184,205,237,18,76.5168412777644,56.7640698071842,193.929758568492,0,NA,NA,"2272",""
2273,8.12026666666667,6.85751111111111,8.06404444444444,1.31957777777778,0.898333333333333,8.74027777777778,254.5,216.5,289.5,274.5,160.5,31.5,114.188096372053,94.252846056287,229.614262595362,0,NA,NA,"2273",""
2274,10.1664,14.7294,6.3232,1.3125,1.3125,7.0675,266,131,217.5,334,42,50,97.1715520286259,115.123370418416,118.655987764159,0,NA,NA,"2274",""
2275,8.1189,3.7948,6.069,0.5244,0.75,8.544,408.5,245.5,291.5,292.5,250.5,52.5,166.701451960413,135.252373531764,289.002320280873,0,NA,NA,"2275",""
2281,25.49515,8.538675,12.425775,7.220475,12.2636,28.47495,9,5,8,2,125,12,7.53796594569719,5.81366459627329,6.95364238410596,1,"Digital",1,"2281",""
2282,28.6442,11.1972,13.0032,2.1056,3.24,26.631,137,46.5,4,7,85,9,12.9052541414172,8.96755162241888,13.7013735886477,1,"Digital",1,"2282",""
2283,22.7058,11.8338,3.0051,7.205,13.125,23.7165,11.5,3,12,12,61,185,11.8729233841269,9.77463365336028,10.000496302546,1,"Digital",1,"2283",""
3011,12.8304,1.488,3.4164,1.62,1.3125,13.734,199.5,131,137,160,376,148,169.56445263508,144.17155540379,174.377855521633,0,NA,NA,"3011",""
3012,9.972375,1.5606,2.3183,1.12125,0.8736,12.99825,301,220,226,181,371,265,248.102968178934,219.972669128313,244.808720464478,0,NA,NA,"3012",""
3111,12.7716857142857,4.92521632653061,3.37536734693878,1.23581632653061,0.839975510204082,11.8839510204082,278,225,139,211,218,152,193.729591853312,175.280500026985,204.624041105057,0,NA,NA,"3111",""
3112,7.812,1.207,1.8887,0.475,0,10.052,423,443.5,300,246,396,302,337.111355198588,309.576175155412,344.876507034295,0,NA,NA,"3112",""
3113,10.3944,6.968,2.3541,4.24,1.215,10.626,36,144.5,211.5,231.5,158.5,256.5,113.079693497902,202.395297739126,101.67472639186,0,NA,NA,"3113",""
3114,9.758,2.3572,3.0552,2.24,0.3125,10.3155,118.5,348,232,238,326,182,212.524334525041,238.013685834205,219.61051406885,0,NA,NA,"3114",""
3121,8.9835,2.7676,1.8165,1.88,1.0044,9.153,163,187.5,255,268,304,307,234.817441429771,247.287332863203,224.164870789548,0,NA,NA,"3121",""
3122,13.92,4.5305,2.4125,1.3125,0.75,14.282,266,245.5,100,149,231,252,183.864739859023,162.753654684875,174.336817915363,0,NA,NA,"3122",""
3124,8.35,1.632,3.6058,1.125,1.125,8.432,297.5,158.5,283,296,366,139,227.484191585208,197.038707754554,259.975223368945,0,NA,NA,"3124",""
