"Job vacancies, proportion of job vacancies and average offered hourly wage by occupation and type of work, quarterly, unadjusted for seasonality 1 2"
"Frequency: Quarterly"
"Table: 14-10-0328-02"
"Release date: 2023-06-20"
"Geography: Canada, Province or territory"
""
""

,"Geography","Canada",,,,
"Distribution, tracking and scheduling co-ordination occupations  [15]","Type of work, all types 6 7","17,035B","18,020B","18,795B","17,770B","14,625B"
,"Full-time 6","11,865A","12,660A","12,895A","11,190B","10,325B"
,"Part-time 7","5,170C","5,360C","5,900C","6,575C","4,300D"
"Natural and applied sciences and related occupations  [2]","Type of work, all types 6 7","69,600A","77,920A","66,835A","58,465A","57,130A"
,"Full-time 6","68,315A","76,660A","65,665A","57,130A","55,965A"
,"Part-time 7","1,285C","1,260C","1,165D","1,335D","1,165C"
"Professional occupations in natural and applied sciences  [21]","Type of work, all types 6 7","45,080A","51,060A","42,140A","38,225A","33,570A"
,"Full-time 6","44,565A","50,655A","41,685A","37,840A","33,035A"
,"Part-time 7","515E","405D","F","385E","535D"
"Technical occupations related to natural and applied sciences  [22]","Type of work, all types 6 7","24,515A","26,860A","24,695A","20,240A","23,560A"
,"Full-time 6","23,750A","26,005A","23,980A","19,290A","22,925A"
,"Part-time 7","770D","855D","715D","945D","635D"
"Health occupations  [3]","Type of work, all types 6 7","82,830A","82,130A","96,620A","92,515A","92,180A"
,"Full-time 6","44,310A","46,985A","56,465A","51,365A","52,250A"
,"Part-time 7","38,520A","35,140A","40,155A","41,155A","39,925A"
"Professional occupations in nursing  [30]","Type of work, all types 6 7","23,620C","24,415B","28,710A","29,005C","29,690A"
,"Full-time 6","13,265D","14,770B","18,360A","17,215C","18,405A"
,"Part-time 7","10,355D","9,640B","10,345A","11,790C","11,285A"
"Professional occupations in health (except nursing)  [31]","Type of work, all types 6 7","7,740B","9,335B","8,990B","9,530B","8,920B"
,"Full-time 6","5,600B","6,760B","6,490B","6,955B","6,805B"
,"Part-time 7","2,140B","2,575B","2,500B","2,575B","2,115B"
"Technical occupations in health  [32]","Type of work, all types 6 7","25,900A","25,270A","28,575A","27,455A","27,060A"
,"Full-time 6","14,805A","15,205A","17,260A","15,655A","15,440A"
,"Part-time 7","11,095A","10,065A","11,310A","11,800A","11,620A"
"Assisting occupations in support of health services  [34]","Type of work, all types 6 7","25,570A","23,110A","30,350A","26,525A","26,505A"
,"Full-time 6","10,640A","10,245A","14,350A","11,535A","11,600B"
,"Part-time 7","14,930A","12,860A","16,000A","14,990A","14,905A"
"Occupations in education, law and social, community and government services  [4]","Type of work, all types 6 7","66,975A","69,660A","64,730A","64,280A","64,035A"
,"Full-time 6","41,000A","44,865A","39,975A","36,880A","39,820A"
,"Part-time 7","25,975A","24,790A","24,750A","27,400A","24,215A"
"Professional occupations in education services  [40]","Type of work, all types 6 7","8,610A","9,315A","8,985A","9,640A","9,385A"
,"Full-time 6","3,805A","4,600A","4,020B","3,905A","4,000A"
,"Part-time 7","4,810A","4,715B","4,965B","5,735B","5,380B"
"Professional occupations in law and social, community and government services  [41]","Type of work, all types 6 7","14,270A","14,990A","14,825A","14,865A","13,445A"
,"Full-time 6","12,260A","12,935A","12,735A","11,875A","11,560A"
,"Part-time 7","2,015B","2,060B","2,095B","2,990B","1,885B"
"Paraprofessional occupations in legal, social, community and education services  [42]","Type of work, all types 6 7","28,835A","32,205A","29,230A","27,140A","29,950A"
,"Full-time 6","17,575A","20,985B","17,560B","15,730B","18,895B"
,"Part-time 7","11,260B","11,220B","11,670B","11,410B","11,055B"
"Occupations in front-line public protection services  [43]","Type of work, all types 6 7","895C","1,225D","1,440D","1,270C","1,120D"
,"Full-time 6","745C","980D","1,180D","965D","690C"
,"Part-time 7","150E","245C","260D","305C","F"
"Care providers and educational, legal and public protection support occupations  [44]","Type of work, all types 6 7","14,360C","11,925B","10,250B","11,365B","10,140B"
,"Full-time 6","6,615C","5,370B","4,485B","4,400B","4,675B"
,"Part-time 7","7,745C","6,560B","5,765B","6,965B","5,465B"
"Occupations in art, culture, recreation and sport  [5]","Type of work, all types 6 7","16,285A","22,905A","15,485B","14,465B","15,080A"
,"Full-time 6","11,315B","15,820B","9,150B","7,710B","9,325B"
,"Part-time 7","4,970B","7,085B","6,335B","6,755B","5,750B"
"Professional occupations in art and culture  [51]","Type of work, all types 6 7","2,680B","3,345B","2,155B","1,935B","2,160B"
,"Full-time 6","2,195B","2,725C","1,785B","1,620B","1,740B"
,"Part-time 7","485E","620D","370D","315D","415E"
"Technical occupations in art, culture, recreation and sport  [52]","Type of work, all types 6 7","13,610A","19,560A","13,330B","12,530B","12,920B"
,"Full-time 6","9,125B","13,095B","7,365B","6,090B","7,585B"
,"Part-time 7","4,485B","6,460B","5,965B","6,435B","5,335B"
"Sales and service occupations  [6]","Type of work, all types 6 7","274,255A","351,690A","339,515A","279,790A","232,855A"
,"Full-time 6","168,210A","206,870A","194,750A","156,505A","141,185A"
,"Part-time 7","106,045A","144,820A","144,770A","123,285A","91,670A"
"Retail sales supervisors and specialized sales occupations  [62]","Type of work, all types 6 7","13,895A","16,745A","15,170A","14,865A","13,880A"
,"Full-time 6","12,750A","15,205A","13,620A","13,040A","12,595A"
,"Part-time 7","1,145C","1,540C","1,550D","1,825C","1,285C"
"Service supervisors and specialized service occupations  [63]","Type of work, all types 6 7","41,820A","51,960A","50,355A","39,860A","37,605A"
,"Full-time 6","32,495A","39,435A","39,035A","32,185A","29,965A"
,"Part-time 7","9,325B","12,530B","11,315B","7,675B","7,640B"
"Sales representatives and salespersons - wholesale and retail trade  [64]","Type of work, all types 6 7","42,465A","52,970A","55,325A","55,190A","33,670A"
,"Full-time 6","23,305A","24,995A","24,725A","20,105A","16,415A"
,"Part-time 7","19,155A","27,975A","30,600B","35,080B","17,255B"
"Service representatives and other customer and personal services occupations  [65]","Type of work, all types 6 7","60,875A","78,115A","74,005A","52,130A","50,415A"
,"Full-time 6","37,910A","46,700A","43,405A","31,145A","31,725A"
,"Part-time 7","22,965A","31,415A","30,605B","20,980A","18,685A"
"Sales support occupations  [66]","Type of work, all types 6 7","22,695A","32,685A","33,910A","28,265A","19,640A"
,"Full-time 6","8,545B","11,650B","12,105A","8,635B","6,935B"
,"Part-time 7","14,150A","21,035A","21,800A","19,630A","12,705B"
"Service support and other service occupations, not elsewhere classified (n.e.c.)  [67]","Type of work, all types 6 7","92,510A","119,215A","110,755A","89,480A","77,645A"
,"Full-time 6","53,210A","68,885A","61,860A","51,390A","43,550A"
,"Part-time 7","39,300A","50,330A","48,895A","38,090A","34,095B"
"Trades, transport and equipment operators and related occupations  [7]","Type of work, all types 6 7","159,260A","188,090A","180,335A","150,375A","140,625A"
,"Full-time 6","147,435A","176,120A","167,305A","138,420A","131,595A"
,"Part-time 7","11,825B","11,965B","13,030B","11,955B","9,030B"
"Industrial, electrical and construction trades  [72]","Type of work, all types 6 7","46,915A","55,430A","54,330A","47,290A","41,645A"
,"Full-time 6","45,945A","54,690A","53,110A","46,770A","41,145A"
,"Part-time 7","970D","735D","1,220D","515D","505E"
"Maintenance and equipment operation trades  [73]","Type of work, all types 6 7","27,305A","31,020A","31,235A","27,280A","28,555A"
,"Full-time 6","26,735A","30,500A","30,715A","26,755A","28,280A"
,"Part-time 7","575D","520E","520D","530D","275D"
"Other installers, repairers and servicers and material handlers  [74]","Type of work, all types 6 7","22,790A","23,345A","19,735A","18,050B","14,900B"
,"Full-time 6","19,810A","20,535A","17,005A","14,755B","13,350B"
,"Part-time 7","2,980C","2,815C","2,730C","3,295C","1,550D"
"Transport and heavy equipment operation and related maintenance occupations  [75]","Type of work, all types 6 7","40,505A","46,745A","45,860A","38,830A","38,115A"
,"Full-time 6","34,715A","40,630A","39,205A","32,555A","32,475A"
,"Part-time 7","5,790B","6,115B","6,655B","6,275B","5,640B"
"Trades helpers, construction labourers and related occupations  [76]","Type of work, all types 6 7","21,740A","31,550A","29,170A","18,925B","17,405B"
,"Full-time 6","20,230A","29,765A","27,270A","17,585B","16,345B"
,"Part-time 7","1,510D","1,785C","1,900C","1,340D","1,060D"
"Natural resources, agriculture and related production occupations  [8]","Type of work, all types 6 7","24,045A","30,920A","24,120B","16,180A","17,755A"
,"Full-time 6","21,505A","28,505A","22,470B","13,815B","15,965A"
,"Part-time 7","2,540C","2,415C","1,650C","2,365C","1,790C"
"Supervisors and technical occupations in natural resources, agriculture and related production  [82]","Type of work, all types 6 7","3,215B","3,455B","3,280B","2,565B","2,125B"
,"Full-time 6","3,140B","3,355B","3,235B","2,485B","2,085B"
,"Part-time 7","F","F","F","F","F"
"Workers in natural resources, agriculture and related production  [84]","Type of work, all types 6 7","10,330B","12,425B","10,090B","7,320B","8,145B"
,"Full-time 6","9,480B","11,400B","9,265C","6,470B","7,505B"
,"Part-time 7","850D","1,025D","820D","855D","640D"
"Harvesting, landscaping and natural resources labourers  [86]","Type of work, all types 6 7","10,500B","15,040B","10,750B","6,295B","7,485B"
,"Full-time 6","8,885B","13,750B","9,970B","4,865B","6,370B"
,"Part-time 7","1,615D","1,285D","780D","1,435D","1,110C"
"Occupations in manufacturing and utilities  [9]","Type of work, all types 6 7","51,830A","53,225A","51,245A","41,475A","33,040A"
,"Full-time 6","49,935A","51,275A","49,175A","40,340A","31,285A"
,"Part-time 7","1,900C","1,950C","2,070D","1,135C","1,755D"
"Processing, manufacturing and utilities supervisors and central control operators  [92]","Type of work, all types 6 7","2,990B","2,965B","3,265B","2,745B","2,660B"
,"Full-time 6","2,940B","2,915B","3,210B","2,695B","2,630B"
,"Part-time 7","50D","F","55E","50E","30D"
"Processing and manufacturing machine operators and related production workers  [94]","Type of work, all types 6 7","17,400A","17,105A","16,780A","15,635A","12,115A"
,"Full-time 6","17,085A","16,640A","16,320A","15,285A","11,745A"
,"Part-time 7","315D","460D","F","350D","375D"
"Assemblers in manufacturing  [95]","Type of work, all types 6 7","12,100B","12,445A","13,320B","10,120B","7,575B"
,"Full-time 6","11,850B","12,260A","13,060B","9,955B","7,285B"
,"Part-time 7","250D","F","F","F","F"
"Labourers in processing, manufacturing and utilities  [96]","Type of work, all types 6 7","19,340A","20,710A","17,880B","12,975A","10,690B"
,"Full-time 6","18,060A","19,455A","16,585B","12,405A","9,630A"
,"Part-time 7","1,285C","1,250C","1,295D","570D","1,060E"
"Unclassified occupations 8","Type of work, all types 6 7","F","F","3,380C","F","F"
,"Full-time 6","F","F","2,720C","F","F"
,"Part-time 7","F","F","660D","F","F"

Symbol legend:
E, use with caution
F, too unreliable to be published
A, data quality: excellent
B, data quality: very good
C, data quality: good
D, data quality: acceptable




Footnotes:
1,"Data quality indicators are based on the coefficient of variation (CV), the non-response errors, the imputation errors, and subject matter expertise: A – Excellent; B - Very good; C - Good; D – Acceptable; E - Use with caution; F - Too unreliable to publish."
2,"Data for the second and third quarters of 2020 are unavailable due to some Statistics Canada operations being temporarily suspended during the COVID-19 pandemic."
3,"A job is vacant if it meets the following conditions: it is vacant on the reference date (first day of the month) or will become vacant during the month; there are tasks to be carried out during the month for the job in question; and the employer is actively seeking a worker outside the organization to fill the job. The jobs could be full-time, part-time, permanent, temporary, casual, or seasonal. Jobs reserved for subcontractors, external consultants, or other workers who are not considered employees, are excluded."
4,"Occupation estimates are based on the <a href="https://www.statcan.gc.ca/eng/subjects/standard/noc/2016/indexV1.3">National Occupational Classification (NOC) 2016</a>."
5,"Includes ‘Unclassified occupations'. Previously released data for the first quarter of 2015 excluded this category."
8,"Improvements were made to the occupation coding procedures starting in the second quarter of 2017. This has resulted in a decrease in the number of vacancies for which the occupation is unclassified. The new coding procedures do not affect the total number of vacancies."
6,"A full-time job is a job requiring 30 or more hours of work per week."
7,"A part-time job is a job requiring less than 30 hours of work per week."



"How to cite: Statistics Canada. Table 14-10-0328-02  Job vacancies, proportion of job vacancies and average offered hourly wage by occupation and type of work, quarterly, unadjusted for seasonality"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410032802
