"Pharmacists, dietitians and nutritionists  [313]","1,600B","1,795C","2,060B","2,235C","1,735B"
Therapy and assessment professionals  [314],"3,560B","4,750B","4,235B","4,375C","4,520B"
Medical technologists and technicians (except dental health)  [321],"8,305B","7,550B","8,885B","8,645B","7,620B"
Technical occupations in dental health care  [322],"2,565C","2,870C","2,615C","2,270C","2,240C"
Other technical occupations in health care  [323],"15,035A","14,850A","17,075A","16,540A","17,195A"
Assisting occupations in support of health services  [341],"25,570A","23,110A","30,350A","26,525A","26,505A"
"Occupations in education, law and social, community and government services  [4]","66,975A","69,660A","64,730A","64,280A","64,035A"
University professors and post-secondary assistants  [401],"1,240B","1,990B","1,930B","2,020B","2,010B"
College and other vocational instructors  [402],"2,305B","2,575C","2,590B","2,660B","2,245C"
Secondary and elementary school teachers and educational counsellors  [403],"5,070A","4,750B","4,465B","4,960B","5,125B"
"Judges, lawyers and Quebec notaries  [411]","1,615C","1,825C","1,685C","1,670C","1,705C"
Social and community service professionals  [415],"5,775B","5,940B","6,205A","6,525B","5,845A"
"Policy and program researchers, consultants and officers  [416]","6,880B","7,225A","6,940A","6,665B","5,895B"
"Paraprofessional occupations in legal, social, community and education services  [421]","28,835A","32,205A","29,230A","27,140A","29,950A"
Occupations in front-line public protection services  [431],895C,"1,225D","1,440D","1,270C","1,120D"
Home care providers and educational support occupations  [441],"14,055C","11,535B","9,995B","11,070B","9,890B"
Legal and public protection support occupations  [442],305B,395C,255B,295B,255B
"Occupations in art, culture, recreation and sport  [5]","16,285A","22,905A","15,485B","14,465B","15,080A"
"Librarians, archivists, conservators and curators  [511]",200D,360D,275D,165D,185C
"Writing, translating and related communications professionals  [512]","1,525B","1,735C","1,095C","1,115C","1,205C"
Creative and performing artists  [513],955D,"1,250D",785C,655C,770D
"Technical occupations in libraries, public archives, museums and art galleries  [521]",415D,885C,365C,420D,385D
"Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts  [522]","2,430C","2,855C","2,055C","1,975C","1,680C"
"Announcers and other performers, not elsewhere classified (n.e.c.)  [523]",105D,155E,190D,F,120D
Creative designers and craftspersons  [524],"4,200B","4,380B","3,430C","2,810B","3,045C"
"Athletes, coaches, referees and related occupations  [525]","6,460B","11,285B","7,295B","7,185B","7,690B"
Sales and service occupations  [6],"274,255A","351,690A","339,515A","279,790A","232,855A"
Retail sales supervisors  [621],"3,110B","3,450B","3,890B","4,380B","3,305C"
Technical sales specialists in wholesale trade and retail and wholesale buyers  [622],"4,790B","5,265B","4,060B","3,710B","3,535B"
"Insurance, real estate and financial sales occupations  [623]","5,995B","8,030B","7,225B","6,780B","7,040B"
Service supervisors  [631],"9,635B","10,615B","10,680B","10,340B","9,690B"
Chefs and cooks  [632],"24,760A","32,865A","31,145A","23,080A","21,200A"
Butchers and bakers  [633],"2,480C","2,380C","2,505B","2,095C","1,775C"
Specialized occupations in personal and customer services  [634],"4,945C","6,105B","6,025C","4,350C","4,945C"
Sales and account representatives - wholesale trade (non-technical)  [641],"7,280B","6,430B","7,595B","6,805B","6,145B"
Retail salespersons  [642],"35,185A","46,540A","47,725A","48,385A","27,525A"
Occupations in food and beverage service  [651],"23,900B","33,865A","30,155A","19,735B","16,920B"
Occupations in travel and accommodation  [652],"3,065B","5,000B","3,930B","3,015C","3,110C"
Tourism and amusement services occupations  [653],620D,"1,605C",595D,835E,"1,105D"
Security guards and related security service occupations  [654],"8,860B","11,325D","10,605D","8,290B","7,180B"
Customer and information services representatives  [655],"20,885A","21,365A","23,145A","16,400A","17,410A"
Other occupations in personal service  [656],"3,550C","4,955B","5,575C","3,855C","4,690C"
Cashiers  [661],"8,095B","12,005B","13,440B","9,430B","7,835B"
Other sales support and related occupations  [662],"14,600A","20,680A","20,470A","18,830A","11,810A"
"Food counter attendants, kitchen helpers and related support occupations  [671]","60,955A","79,115A","73,745A","58,105A","49,360A"
"Support occupations in accommodation, travel and amusement services  [672]","3,640B","4,665B","5,045D","4,610B","2,840B"
Cleaners  [673],"24,830A","31,380A","29,200A","23,470A","22,425A"
"Other service support and related occupations, not elsewhere classified (n.e.c.)  [674]","3,085C","4,055B","2,770B","3,295C","3,020D"
"Trades, transport and equipment operators and related occupations  [7]","159,260A","188,090A","180,335A","150,375A","140,625A"
"Contractors and supervisors, industrial, electrical and construction trades and related workers  [720]","1,280C","1,525C","1,460D","1,325D","1,255C"
"Machining, metal forming, shaping and erecting trades  [723]","12,075B","12,915A","12,710B","10,925B","9,630B"
Electrical trades and electrical power line and telecommunications workers  [724],"6,530B","7,055B","8,025B","7,765B","8,115C"
"Plumbers, pipefitters and gas fitters  [725]","4,035B","4,760C","5,085C","4,355B","3,690C"
Carpenters and cabinetmakers  [727],"11,880B","12,940B","14,010B","12,535B","9,035B"
Masonry and plastering trades  [728],"4,980C","6,455C","5,320C","4,555C","4,385D"
Other construction trades  [729],"6,135C","9,780C","7,720C","5,830C","5,540C"
"Contractors and supervisors, maintenance trades and heavy equipment and transport operators  [730]","2,225B","1,920B","1,905B","1,280B","1,795B"
Machinery and transportation equipment mechanics (except motor vehicles)  [731],"10,855A","12,800A","12,495A","10,970A","12,375B"
Automotive service technicians  [732],"10,500B","11,645B","12,635B","11,310B","10,330B"
Other mechanics and related repairers  [733],"2,300C","2,410B","2,225C","2,220C","1,935C"
Train crew operating occupations  [736],F,F,F,F,F
"Crane operators, drillers and blasters  [737]",670D,"1,125D",880D,665C,945D
"Printing press operators and other trades and related occupations, not elsewhere classified (n.e.c.)  [738]",625D,"1,030D","1,025D",795D,"1,110D"
"Other installers, repairers and servicers  [744]","6,970B","6,725B","4,810B","4,625C","4,055C"
Longshore workers and material handlers  [745],"15,820B","16,625B","14,925B","13,425B","10,845B"
Motor vehicle and transit drivers  [751],"33,040A","37,745A","37,310A","29,920A","30,470B"
Heavy equipment operators  [752],"5,840B","6,585B","5,685B","6,125B","5,320B"
Other transport equipment operators and related maintenance workers  [753],"1,630C","2,410C","2,865C","2,790C","2,325C"
Trades helpers and labourers  [761],"19,620B","28,690A","26,995A","17,155B","15,075B"
"Public works and other labourers, not elsewhere classified (n.e.c.)  [762]","2,120B","2,855C","2,175C","1,765C","2,335B"
"Natural resources, agriculture and related production occupations  [8]","24,045A","30,920A","24,120B","16,180A","17,755A"
"Supervisors, logging and forestry  [821]",75D,60E,x,F,50E
"Contractors and supervisors, mining, oil and gas  [822]",430D,510D,450D,430C,365C
"Underground miners, oil and gas drillers and related occupations  [823]","1,075C","1,210C","1,365C","1,145C",680C
Logging machinery operators  [824],x,305E,115E,x,85E
"Contractors and supervisors, agriculture, horticulture and related operations and services  [825]","1,405D","1,210C","1,290C",660D,940C
Fishing vessel masters and fishermen/women  [826],x,F,x,x,..
Mine service workers and operators in oil and gas drilling  [841],560C,695C,510D,510D,375C
Logging and forestry workers  [842],415E,650E,x,775E,425E
Agriculture and horticulture workers  [843],"9,350B","11,035B","9,095C","6,035B","7,280B"
Other workers in fishing and trapping and hunting occupations  [844],..,F,x,F,F
"Harvesting, landscaping and natural resources labourers  [861]","10,500B","15,040B","10,750B","6,295B","7,485B"
Occupations in manufacturing and utilities  [9],"51,830A","53,225A","51,245A","41,475A","33,040A"
"Supervisors, processing and manufacturing occupations  [921]","1,140B","1,080B","1,160B","1,095B",950B
"Supervisors, assembly and fabrication  [922]",370C,420C,405D,375C,435D
Central control and process operators in processing and manufacturing  [923],480D,445C,480D,275D,245D
Utilities equipment operators and controllers  [924],"1,000B","1,015C","1,220B","1,005B","1,030B"
Machine operators and related workers in mineral and metal products processing and manufacturing  [941],"5,345B","4,530B","4,770B","3,950B","2,985B"
"Machine operators and related workers in chemical, plastic and rubber processing  [942]","2,850B","2,910C","2,695C","2,665C","1,640C"
Machine operators and related workers in pulp and paper production and wood processing and manufacturing  [943],"1,825C","1,605C","1,455C","1,425C","1,070C"
"Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing  [944]","1,525D","1,800C","1,580D","1,590D","1,345D"
"Machine operators and related workers in food, beverage and associated products processing  [946]","5,495B","5,990B","5,820B","5,545B","4,670B"
Printing equipment operators and related occupations  [947],365D,270D,455D,465D,400D
"Mechanical, electrical and electronics assemblers  [952]","5,750B","5,540B","6,195B","4,975C","3,640B"
Other assembly and related occupations  [953],"6,350B","6,905B","7,125B","5,145B","3,935C"
"Labourers in processing, manufacturing and utilities  [961]","19,340A","20,710A","17,880B","12,975A","10,690B"
Unclassified occupations 6,F,F,"3,380C",F,F
,,,,,
Symbol legend:,,,,,
.., not available for a specific reference period,,,,
x, suppressed to meet the confidentiality requirements of the Statistics Act,,,,
E, use with caution,,,,
F, too unreliable to be published,,,,
A, data quality: excellent,,,,
B, data quality: very good,,,,
C, data quality: good,,,,
D, data quality: acceptable,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Footnotes:,,,,,
1,"Data quality indicators are based on the coefficient of variation (CV), the non-response errors, the imputation errors, and subject matter expertise: A – Excellent; B - Very good; C - Good; D – Acceptable; E - Use with caution; F - Too unreliable to publish.",,,,
2,Data for the second and third quarters of 2020 are unavailable due to some Statistics Canada operations being temporarily suspended during the COVID-19 pandemic.,,,,
3,"An economic region (ER) is a grouping of complete census divisions (with one exception in Ontario) created as a standard geographic unit for analysis of regional economic activity. Canada has 76 ERs that are classified in accordance with the <a href=https://www150.statcan.gc.ca/n1/en/catalogue/12-571-X2016001"">Standard Geographical Classification (SGC) 2016</a>", which is based on 2016 Census boundaries. The Job Vacancy and Wage Survey (JVWS) publishes estimates for 69 ERs, seven of which are combined. These seven combined ERs are the same as those published by the Labour Force Survey. Maps illustrating the ERs, as well as a table showing the census metropolitan areas (CMAs) and census agglomerations (CAs) within each ER," are available by selecting the “JVWS Geographical Maps” link at the bottom of the JVWS survey page (<a href=""http://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=5217"">5217</a>)."""
4,"A job is vacant if it meets the following conditions: it is vacant on the reference date (first day of the month) or will become vacant during the month; there are tasks to be carried out during the month for the job in question; and the employer is actively seeking a worker outside the organization to fill the job. The jobs could be full-time, part-time, permanent, temporary, casual, or seasonal. Jobs reserved for subcontractors, external consultants, or other workers who are not considered employees, are excluded.",,,,
5,"Occupation estimates are based on the <a href=https://www.statcan.gc.ca/eng/subjects/standard/noc/2016/indexV1.3"">National Occupational Classification (NOC) 2016</a>.""",,,,
6,Improvements were made to the occupation coding procedures starting in the second quarter of 2017. This has resulted in a decrease in the number of vacancies for which the occupation is unclassified. The new coding procedures do not affect the total number of vacancies.,,,,
,,,,,
,,,,,
,,,,,
"How to cite: Statistics Canada. Table 14-10-0356-02  Job vacancies and average offered hourly wage by occupation (minor group), quarterly, unadjusted for seasonality",,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410035602,,,,,
